p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,hl_category
1595.3282,1440.887696170264,1433.793015807783,1417.1588446080148,1406.3674541506273,1408.499962389014,1458.6279700693476,1481.2658270965562,1413.7211503359174,1476.075481882025,1457.4582170621889,1419.5781537986177,1401.499835969977,1432.0715146947816,1430.3432651801706,1450.352876923077,Medium
1541.2796999999998,1385.9333368899818,1378.8091891609135,1353.591341818042,1351.3172600587054,1341.6342466595017,1412.1058408842073,1419.9229085462098,1366.3240447652195,1416.0232451536965,1399.0037729712612,1363.889620896573,1332.7584475980764,1386.4960477191612,1361.3216398703037,1412.8551923076923,Medium
1608.1569,1440.3794743977292,1462.5767755360753,1423.2932428779618,1395.212645452602,1414.0474287000613,1452.6552296570815,1486.8786897914808,1450.7264954726884,1466.4731745896956,1447.4666785888337,1390.198727418845,1395.2609591267321,1456.4205156310406,1430.6797214065552,1523.8564384615383,Medium
1566.1543,1396.3233826243604,1399.4899590384568,1362.449244191115,1356.3546595987286,1349.2222610118956,1414.6952183087046,1446.9342941761108,1386.3301728104127,1447.3454987099726,1405.9770391705247,1362.3182538499234,1331.4827727719878,1389.5632752003582,1393.0701907310563,1437.1035923076922,Medium
1610.2005,1447.8143360550405,1461.521887910631,1426.518567282945,1421.8202403446542,1405.6599705104331,1458.2741644078567,1503.3010587876486,1456.0713638462237,1497.0674427115318,1446.4973039167237,1431.264927138311,1408.293166115513,1439.8802714076742,1440.11460881146,1495.4036076923076,Medium
1508.6135,1328.152012614456,1305.792997709398,1250.339815665847,1247.2783608011332,1262.6034404034074,1352.9245093829238,1391.8346911729132,1320.2230968200865,1358.394205533371,1296.8606454224905,1248.3038563980056,1229.9918069365672,1309.5134902962388,1329.8324310036492,1378.9629923076923,Medium
1570.6497,1417.0053112757182,1439.5450369474331,1399.2717058227258,1395.6186065610457,1392.1296632982005,1441.3988507221572,1463.6486441459606,1408.7470929584322,1464.2991185530377,1425.4683300529473,1413.2998771470936,1396.1220222656693,1425.116527717142,1402.0570819209547,1440.9251923076922,Medium
1476.0139000000001,1266.0215599015542,1169.547948315547,1132.6367177099235,1171.1706354909682,1218.3524539835792,1255.0798072689845,1280.7562062799627,1222.0426981807045,1263.038398339959,1276.8668900546313,1163.2002851614905,1086.879244796822,1184.5317171115062,1260.9424921618197,1365.391409090909,Medium
1612.8566,1415.5732006437763,1292.3800258065787,1260.0141357815694,1279.0883631293602,1339.7586594131387,1376.4947429289887,1415.0126507693217,1362.2834263142206,1398.9220758154204,1416.5252285275394,1285.2094197698566,1220.175032388976,1303.2338576667648,1397.0842082653448,1484.123090909091,Medium
1521.5628,1346.0736607591145,1263.1343293759464,1232.8241963006285,1211.6090642502008,1247.6367239062429,1311.1103236935003,1387.1978784248197,1335.1179441709985,1333.1142762811776,1323.907051679262,1216.7033181579682,1194.2437159636527,1273.2688817107414,1328.2076802170816,1392.105690909091,Medium
1516.0367999999999,1324.5090710887077,1225.020419410454,1194.4891060937075,1241.4485310252687,1263.9394785225766,1309.2028521445739,1321.31323738997,1267.118711622003,1331.0250775356005,1341.194338099462,1250.4543280257415,1158.041811461399,1238.8417368642915,1313.1889546862544,1395.7194909090908,Medium
1494.4693000000002,1303.3861627188226,1241.5239275205342,1217.142421266792,1250.6935974691864,1289.4011910102715,1301.4360592431656,1295.7081997369105,1240.696965857388,1323.505857920794,1365.6822677657917,1257.8052848451207,1176.0158007489288,1248.5737030841965,1285.560913220781,1366.913990909091,Medium
1517.1634,1325.3797010680219,1229.6015462413818,1199.2733567250573,1244.3584571428296,1264.4729667562508,1306.8327052851891,1317.9083649171293,1262.65146501034,1329.1198458468218,1342.2195674624977,1251.786371611737,1156.9687227539116,1235.082972594133,1303.3182043020138,1385.2432909090908,Medium
1515.0219000000002,1319.4186038199687,1205.1276197315556,1171.6305099022172,1203.587597902987,1244.2578899384093,1293.9298224636416,1308.2633497732727,1272.86043252264,1302.1913449177648,1328.8416128954168,1208.6589799312444,1126.4734707990874,1226.9288064521706,1284.9325415990388,1404.2812090909092,Medium
1698.3384,1476.1757600000553,1260.1678993633668,1290.9663223292223,1415.4652199103705,1562.3105398483287,1501.3181322672785,1342.2368356410323,1307.8111704906541,1470.0129136551707,1578.6291526910968,1449.8726933123576,1219.476808690841,1301.7923238358692,1518.7467736323354,1566.3573714285717,Medium
1681.2302000000002,1460.0623173930592,1254.0398465180579,1285.0830843910664,1422.2561056994844,1546.8356147000916,1502.7381116691429,1310.0548747673402,1304.3776201967496,1445.279400925382,1582.988271731352,1440.110872772982,1220.4986426753437,1288.7372925480145,1501.7851253895549,1545.6143714285715,Medium
1577.0822999999998,1385.9933721272705,1199.256769944772,1266.7690151224547,1334.4342908723982,1403.2230315766983,1400.8376055697904,1300.147917009408,1233.412250399325,1348.7879238004375,1476.4486438360725,1343.3454097493652,1166.9960453683896,1286.2070632457762,1415.658355178346,1429.2903571428571,Medium
1772.2741,1582.554525574485,1490.2084638011352,1520.190218356582,1540.1359204842765,1669.1870749518953,1580.5353542082992,1519.4221083421178,1504.1407260281942,1546.194870290143,1684.4807924706777,1553.6644083045398,1462.3121311183259,1518.129502932689,1580.5915849438531,1656.4640142857143,Medium
1395.7594999999997,1207.8334537703006,1015.116354785438,1054.5320893112557,1151.5425831199957,1270.4733739006786,1220.0674106319925,1070.4399844110274,1046.3668447750656,1175.2054251301395,1291.845472563695,1182.000348270395,989.6538956227485,1066.7430832265377,1230.2497074787423,1281.4023909090906,Medium
1663.3818999999999,1479.0029552268827,1331.2336120385805,1393.7383466644899,1452.5178463738662,1559.931972442275,1512.8907797101401,1366.823677673173,1363.0161527992957,1459.34218928169,1571.2141419210225,1492.9192299512708,1307.8577510458847,1389.6170284553593,1521.8723136679812,1532.3994714285714,Medium
