algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,random_seed
Ridge,0.1406130790710449,0.0205580711364746,0.8405564311370135,0.8478471302680244,0.8431114338813946,0.8478471302680244,0.8436123348017621,0.851046255506608,0.8436123348017621,0.8293232295585307,0.6417416813868358,0.6781616350243801,0.8448236207781742,antiviral_onehot,42
Logistic,0.2807168006896973,0.0212730884552001,0.8229398858354641,0.8307611524587919,0.8247056126889909,0.8307611524587919,0.8281938325991189,0.829599715462751,0.8281938325991189,0.8142314139799618,0.6030335925848368,0.6650274924784728,0.835650763941692,antiviral_onehot,42
SGD,0.4150747299194336,0.0124245643615722,0.7957497355293931,0.8015509185273123,0.7964367930046864,0.8015509185273123,0.8193832599118943,0.8192411790544253,0.8193832599118943,0.8061386508235487,0.582323646047696,0.6607946882456687,0.8320373944746642,antiviral_onehot,42
LDA,2.1894058704376222,0.0258340835571289,0.7792892134181433,0.779495609028507,0.7805960085004733,0.779495609028507,0.7973568281938326,0.7881355085267475,0.7973568281938326,0.787783248394806,0.53660010132658,0.6524639485423799,0.8252688093427697,antiviral_onehot,42
QDA,0.4375461578369141,0.0391895294189453,0.8021369896316883,0.8131013804544693,0.805368481643864,0.8131013804544693,0.7973568281938326,0.7990840065160645,0.7973568281938326,0.7811710091281845,0.5309603991760409,0.6021475256769374,0.8276036569118689,antiviral_onehot,42
LinearSVC,0.1295970439910888,0.0135215282440185,0.8095389771325099,0.8142276608374047,0.8095653262222727,0.8142276608374047,0.8281938325991189,0.8283024857101249,0.8281938325991189,0.8143284879631487,0.6030818760292845,0.6650274924784728,0.8357207729751158,antiviral_onehot,42
SVC,1.3699305057525637,0.4068279266357422,0.8120465140659242,0.8329497892029284,0.8420264823019201,0.8329497892029284,0.8259911894273128,0.8502698647852266,0.8259911894273128,0.8023089626156038,0.6015806928443735,0.6193796036933291,0.8151057852904668,antiviral_onehot,42
KNN,0.0374072074890136,0.0551207065582275,0.7414156161174708,0.775637337716695,0.7640964565453203,0.775637337716695,0.76431718061674,0.7700187856350313,0.76431718061674,0.7247413842607405,0.4191666936038807,0.51897499740637,0.7601274427612381,antiviral_onehot,42
GPC,21.976686096191408,27.27224998474121,0.7306899841443278,0.7596487222805657,0.738924932640046,0.7596487222805657,0.762114537444934,0.7595463593276507,0.762114537444934,0.7275608094342616,0.4152645305685404,0.5310094408133624,0.7639183449987977,antiviral_onehot,42
BernoulliNB,0.0579149723052978,0.0232085227966308,0.7053754660671749,0.73262864709374,0.705552860825069,0.73262864709374,0.73568281938326,0.7078007507696974,0.73568281938326,0.7081720966971953,0.3581827016240941,0.5162568731196182,0.7610419956717552,antiviral_onehot,42
