index,Encoder,Algorithm,F1,Recall,Precision,Accuracy,random_seed,Stage,Type-Encoder
0,antiviral_onehot,Ridge,0.8405564311370135,0.8478471302680244,0.8431114338813946,0.8478471302680244,42,Training,One-Hot-Based
1,antiviral_onehot,Logistic,0.8229398858354641,0.8307611524587919,0.8247056126889909,0.8307611524587919,42,Training,One-Hot-Based
2,antiviral_onehot,SGD,0.7957497355293931,0.8015509185273123,0.7964367930046864,0.8015509185273123,42,Training,One-Hot-Based
3,antiviral_onehot,LDA,0.7792892134181433,0.779495609028507,0.7805960085004733,0.779495609028507,42,Training,One-Hot-Based
4,antiviral_onehot,QDA,0.8021369896316883,0.8131013804544693,0.805368481643864,0.8131013804544693,42,Training,One-Hot-Based
5,antiviral_onehot,LinearSVC,0.8095389771325099,0.8142276608374047,0.8095653262222727,0.8142276608374047,42,Training,One-Hot-Based
6,antiviral_onehot,SVC,0.8120465140659242,0.8329497892029284,0.8420264823019201,0.8329497892029284,42,Training,One-Hot-Based
7,antiviral_onehot,KNN,0.7414156161174708,0.775637337716695,0.7640964565453203,0.775637337716695,42,Training,One-Hot-Based
8,antiviral_onehot,GPC,0.7306899841443278,0.7596487222805657,0.738924932640046,0.7596487222805657,42,Training,One-Hot-Based
9,antiviral_onehot,BernoulliNB,0.7053754660671749,0.73262864709374,0.705552860825069,0.73262864709374,42,Training,One-Hot-Based
10,antiviral_onehot,GaussianNB,0.7669728968353998,0.7519200036528012,0.8234757826186343,0.7519200036528012,42,Training,One-Hot-Based
11,antiviral_onehot,DecisionTree,0.7942586834426211,0.7976865592134301,0.7961951685915102,0.7976865592134301,42,Training,One-Hot-Based
12,antiviral_onehot,ExtraTree,0.746169546846482,0.7491682267171971,0.7478018576186886,0.7491682267171971,42,Training,One-Hot-Based
13,antiviral_onehot,RandomForest,0.7901096004820707,0.799876717958084,0.7891692332079714,0.799876717958084,42,Training,One-Hot-Based
14,antiviral_onehot,Bagging,0.8012362193430619,0.803191635085156,0.8012511285966655,0.803191635085156,42,Training,One-Hot-Based
15,antiviral_onehot,AdaBoost,0.6962017744155776,0.7750787635267796,0.6631848044897509,0.7750787635267796,42,Training,One-Hot-Based
16,antiviral_onehot,GradientBoosting,0.8334880925475059,0.8406845958327626,0.8355921360261194,0.8406845958327626,42,Training,One-Hot-Based
17,antiviral_onehot,HistGradientBoosting,0.8184103695871643,0.8235940520219778,0.8176935015353948,0.8235940520219778,42,Training,One-Hot-Based
18,antiviral_onehot,ExtraTrees-ensemble,0.7860260993004778,0.7916168211497192,0.7861403056075659,0.7916168211497192,42,Training,One-Hot-Based
19,antiviral_onehot,LGBM,0.8188510898395158,0.8241419722082706,0.8178902719369587,0.8241419722082706,42,Training,One-Hot-Based
20,antiviral_FFT,Ridge,0.6178839908676378,0.7138882547220067,0.6041070265866489,0.7138882547220067,42,Training,FFT-Based
21,antiviral_FFT,Logistic,0.6255409332588346,0.7100284614096769,0.6209057618320492,0.7100284614096769,42,Training,FFT-Based
22,antiviral_FFT,SGD,0.4685364234324439,0.5353621600231344,0.6611060504643671,0.5353621600231344,42,Training,FFT-Based
23,antiviral_FFT,LDA,0.6403488883108912,0.7045157755353637,0.6329820110719366,0.7045157755353637,42,Training,FFT-Based
24,antiviral_FFT,QDA,0.3934025476667049,0.3572074334505274,0.5656007277025339,0.3572074334505274,42,Training,FFT-Based
25,antiviral_FFT,LinearSVC,0.6178098861754464,0.7023210507891572,0.6009231339351468,0.7023210507891572,42,Training,FFT-Based
26,antiviral_FFT,SVC,0.648035195900555,0.7370424485944325,0.7427067646592915,0.7370424485944325,42,Training,FFT-Based
27,antiviral_FFT,KNN,0.6702123834054488,0.7067272422872624,0.6605022690408573,0.7067272422872624,42,Training,FFT-Based
28,antiviral_FFT,GPC,0.5399118380515728,0.5126645663059526,0.615910875631043,0.5126645663059526,42,Training,FFT-Based
29,antiviral_FFT,BernoulliNB,0.6051175452239037,0.7210599211603732,0.5212964711697228,0.7210599211603732,42,Training,FFT-Based
30,antiviral_FFT,GaussianNB,0.5903983583259484,0.5760939378719389,0.621824962320982,0.5760939378719389,42,Training,FFT-Based
31,antiviral_FFT,DecisionTree,0.6219313754475749,0.6361581662937766,0.6109771646641798,0.6361581662937766,42,Training,FFT-Based
32,antiviral_FFT,ExtraTree,0.6280297437319117,0.6422218163554176,0.617338727192171,0.6422218163554176,42,Training,FFT-Based
33,antiviral_FFT,RandomForest,0.6290197074061327,0.6786037167252637,0.6124434677833724,0.6786037167252637,42,Training,FFT-Based
34,antiviral_FFT,Bagging,0.6352224298862164,0.6686833173523279,0.6190453770250907,0.6686833173523279,42,Training,FFT-Based
35,antiviral_FFT,AdaBoost,0.6328082017884027,0.6934904037867373,0.6116916617198793,0.6934904037867373,42,Training,FFT-Based
36,antiviral_FFT,GradientBoosting,0.6437950313728713,0.7039739433511407,0.6365302711321074,0.7039739433511407,42,Training,FFT-Based
37,antiviral_FFT,HistGradientBoosting,0.6366071721251884,0.6747484894144864,0.6208173355589723,0.6747484894144864,42,Training,FFT-Based
38,antiviral_FFT,ExtraTrees-ensemble,0.6422618104295305,0.6802566092872471,0.6275396662318002,0.6802566092872471,42,Training,FFT-Based
39,antiviral_FFT,LGBM,0.6374932751990101,0.6763968159749174,0.6224922786847376,0.6763968159749174,42,Training,FFT-Based
40,antiviral_physicochemical_properties,Ridge,0.6311080038363889,0.7177480480343363,0.6262870921907291,0.7177480480343363,42,Training,PHY-Based
